sentence,label
"multi channel recruiting Deutsche Post AG rely on various recruitment methods to attract high school graduates , university students , university graduates and working professionals .",0
"Brenntag AG distributes industrial and specialty chemicals for thousands of suppliers , enabling Brenntag AG to achieve economies of scale and to offer around 170,000 customers a full - line range of more than 10,000 chemical products as well as many services .",0
Deutsche Post DHL Group have established internal exchange platforms and conducted various trainings as a wa y to further improve Deutsche Post DHL Group employees’Deutsche P ost DHL Gr oup Corpor ate Responsibility Report 2015 ORGANIZA TION & STRA TEGY 23knowledge of a S takeholder Engagement Guideline complete with training materials and ORGANIZA TION & STRA TEGY overall stakeholder orientation .,0
"In most cases , HelloFresh ’s Management Board provides guidelines , policies , and training , supplemented by local privacy initiatives and a variety of training to suit individual local needs .",0
"To ensure that HelloFresh processes and systems support a team of people who are a refl ection of the brand ’s personality : optimistic , empathetic , intuitive , forward thinking and inspiring , HelloFresh have partnered with a leading Quality Management Systems company that provides a platform for sharing data on ingredients with HelloFresh suppliers .",0
"Allianz Global Investors engineer active solutions that meet our clients ‚Äô unique investment challenges , powered by an innovative approach to allocation and a deep understanding of risk .",0
the Executive Board has adopted the recommendations that resulted from a global stakeholder survey ( Sustainable Impact Evaluation ) in the first quarter of 2019 2016 .,0
"With a network that spans the globe , Deutsche Post DHL Group are one of the leading providers in Deutsche Post DHL Group business segments .",0
"Deutsche Bank have clearly defined responsibilities for each stakeholder group , and use various formats , including bilateral conversations with individual s or groups , as well as exchanges in the context of meetings , events , forums or working groups .",0
This also provides our with the opportunity to emphasizethat our welcomes the activities of the European Commission as an important milestone to help Deutsche Bankbrand deliver onits Paris Climate Agreement goals and wider sustainability agenda .,0
the company prioritize our medium and long term targets based on two core principles .,0
the Group achievements in 2011 clearly confirm the Group are fulfilling improve .,0
Executive Board and the Executive Board practicesThe the Executive Board appoints the members of the Corporation and supervises and advises the Corporation in managing the Corporation .,0
Deutsche Post DHL Group are working hard to increase the use of green electricity in other countries as well .,1
", encouraging employees to play a part in shaping BRENNTAGWE is an important aspect that helps to promote employee motivation and loyalty .",0
"The CMS consists of the three pillars of prevention , detection and response :",0
So Express have to use ambitious goals for combining sustainability with business success to convert Express to zero emissions technologies .,1
Continental A G relies increasingly on the use of recycling material .,0
Waste and recycling Deutsche Post DHL Group try to avoid waste such as transportation packaging or paper waste whenever possible .,1
Neither a former Executive Board member nor the chair -man of the Corporation may act as chairman of the Rubber Group .,0
How would EMPLO YEES & WORKPLA CE 68What would you say to young people who ar e considering a car eer in logistics with Deutsche P ost DHL Gr oup define being the benchmark for a r esponsible Expr ess business ?,1
About the reportLOOKING AHEADPIMCO will continue to strengthen ALLIANZ GROUP ESG team to further support the rollout of ALLIANZ GROUP ESG process and work with clients to develop innovative and impactful investment solutions .,1
"Around half of their dissertations at Daimler are written in the research and development units , while the rest are distributed among a variety of departments at we ( HR , legal , finance , pr oduction , communications , IT ) .",0
"Through the European Banking Federation , Asset Management are a signatory to the UN PRI and a Responsible Investment Statement guides We ESG approach .",0
the Executive Board has not stipulated an age limit as rec -ommended in Section 5.4.1 of the German Corporate Governance Code .,0
"The essential risks covered by the Governance , Risk & Compliance System and the corresponding measures resolved by Continental A G are presented to the Supervisory Board .",0
All divisions across Deutsche Post have access to document .,0
"With this broad based , high quality progr am , Deutsche Post DHL Group give participants – meaning employees worldwide – specialist knowledge and show participants – meaning employees worldwide the importance of the role participants – meaning employees worldwide play in the company as a whole .«Deutsche P ost DHL Gr oup Corpor ate Responsibility Report 2015 EMPLO YEES & WORKPLA CE 67cross divisional basis to enable enhanced HR a nalytics .",1
", BRENNTAG SE will be launching an innovative system with an internal CO2e price in 2022 : Each BRENNTAG SE company will pay a set price for the emissions Each Brenntag company causes .",0
If Deutsche Post identify suppliers with competencies that are of strategic importance for Deutsche Post business – including innovators from the fields of green technologies and IT – Deutsche Post intensify Deutsche Post dialogue with suppliers with competencies that are of strategic importance for our business – including innovators from the fields of green technologies and IT .,0
"the Corporation comprises 572 com -panies , including non controlled companies , in addition to the parent company Continental AG .",0
"As a multinational enterprise , DHL Express have made Our annual Employee Opinion Survey ( EOS ) , which we introduced in 2009 , available in many different language versions .",0
Explanation of terms used Deutsche Post DHL Group use the term “ employees ” to refer to Deutsche Post DHL Group w orkforce .,0
"Furthermore , Continental A G is binding for all employees , including the Executive Board .",0
"85 such cargo bikes are already being used in the world , a figure that Deutsche Post DHL Group intend to contin- ually increase in the future .",1
"With ecolabels for products , Continental AGcould advertise Continental AG ecologically beneficial products more effectively , thereby setting Continental AG apart from competitors .",1
"ALLIANZ GROUP are focused on supporting low income customers in Asia , Africa and South America to close the gap for people who need access to low cost financial services .",0
"Allianz Global Investors promote active collaboration , take ownership of final outcomes and win together as a team , in order to be at Allianz Global Investors best and serve Allianz Global Investors clients most effectively .",0
"As part of Deutsche Post DHL Group corpor ate culture Deutsche Post DHL Group respect and appreciate the performance of each and every employee , and Deutsche Post DHL Group encour age each and every employee to develop each and every employee potential to the full .",0
How do Deutsche Post DHL Group plan do to that ?,1
"In order to reach our long - term Future Sustainable Brenntag vision and to address the corre -sponding topics , BRENNTAG SE will introduce ongoing and target - ed measures in the following six focus areas as part of BRENNTAG SE new ESG strategy from 2020 onwards : Climate protection and reduction of emissions Resource efficiency and circular economy Fair and safe employer Responsible partner for suppliers and communities Management structures for business ethics Portfolio and investment",0
ACTIVE LEADERSHIP uses We support measures as a blueprint to develop similar programs for young people around the world .,1
Tracking carbon emissions and the CEX is handled by Deutsche Post DHL Group internal management information system .,0
"The share of women in upper and middle management within Deutsche Post DHL Group is currently 19.3 % ; within Deutsche Post DHL Group Germany , this figure is 21.1 % .",0
"Allianz Global Investors offer a diversified range of active investment strategies across four main pillars : equities , fixed income , multi asset and alternatives .",0
Continental AG ‚Äôs Supervisory Board is directly involved in decisions of material im portance to Continental A G .,0
"Building on the work of BRENNTAG SE committee for diversity and inclusion , BRENNTAG SE want to make sure people with disabilities are optimally integrated in the team and create an atmosphere that puts people with and without disabilities on a level playing field .",1
Th e new regional delivery companies we established within our Post eC ommerce P arcel division also confirm Deutsche Post DHL Group employees ’ satisfaction with Deutsche Post DHL Group and help Deutsche Post DHL Group understand how to deliver on Deutsche Post DHL Group goal of becoming Employer of Choice .,1
"Allianz Global Investors publish detailed Global Corporate Governance Guidelines and a Stewardship Statement , and Allianz Global Investors provide real time disclosure of all votes cast , including commentary on votes against management and abstentions .",0
"At the same time , aviation is the single biggest contributor to DHL Express emissions , so it is an area of intense focus for DHL Express network operations team as DHL Express work to minimize DHL Express environ mental footprint .",1
"In our Code of Conduct , Deutsche Bank have formalized and underscored Deutsche Bank commitment to respecting human right , including the prevention of child labor and the prevention of modern slavery and human trafficking .",0
the U.N.-Convened Net Zero Asset Owner Alliance meets quarterly and is responsible for ensuring ESG integration across all business lines and core processes dealing with insurance and investment decisions .,0
"Deutsche Post offer a supportive , respectful work environment in which Deutsche Post employees can develop our employees skills and expertise .",1
OCCUPATIONAL SAFETY & SECURITY OUR bear responsibility for the safety of OUR employees and provide our employees with effective protection against dangers and risks in our employees working environment .,0
Sustainable Development Investment Partnership ( SDIP)‚Ä¢ International Paralympic Committee ‚Ä¢ International Olympic Committee ( as ¬† of 2021)‚Ä¢ U.N.-convened Net Zero Asset Owner Alliance‚Ä¢ U.N.-convened Global Investors for Sustainable Development ( GISD ) AllianceGLOBAL INITIATIVES ALLIANZ GROUPbusinesses are signatories to and members of a wide range of global sustainability initiatives and principles .,0
Any work accident at OUR is one too many .,0
"GROUP operates a two tier Board system : the Supervisory Board comprises twelve members , including six shareholder representatives appointed by the Annual General Meeting , and six employee representatives appointed by the ALLIANZ GROUP works council .",0
The Executive Board is responsible for The Autonomous Mobility and Safety business area .,0
ALLIANZ GROUP recognize that taxation raises external expectations for increased tax transparency .,0
"In doing so , Deutsche Post DHL Group promote Deutsche Post DHL Group long term growth and secure jobs worldwide .",1
"the Supervisory Board establishes group- wide CIC initiatives and approves the annual CIC Book of Work ( a set of centrally led initiatives focusing on group- wide frameworks , processes , training , and communications ) .",0
"Through OUR Corporate Intranet , employee media and local campaigns , OUR provide OUR employees with extensive information on the subject of road safety .",0
"Common understanding of human rights Deutsche Post DHL Group expect Deutsche Post DHL Group managers to act as role models – to embody Deutsche Post DHL Group leadership attributes , and adopt an open and respectful approach when dealing with our managers employees .",1
"BRENNTAG SE uses the income gener -ated for BRENNTAG SE own gardens and buys seeds and seedlings for herbs , fruit trees and vegetables .",0
"With a view to the development of the number of accidents , BRENNTAG SE are continuously working on further improving BRENNTAG SE safety culture .",0
", the Executive Board together with Executive Board makes use of the measures and programs to promote internationality and women in management positions , thus making it possible to identify and develop potential international and female candi -dates for positions on Executive Board .",0
"As a proactive risk management system for human rights , Social Intranet at Daimler is de signed with the aim of identifying and avoiding systemic risks and poten tial negative impacts of we business activities on human rights early on .",1
Deutsche Post believe that successful partnerships with Deutsche Post suppliers are built on a common set of values .,0
"And DHL Express have accelerated DHL Express program to deploy greener delivery vehicles – inclu ding electric vans and cargo bicycles – as well as walking couriers , particularly in urban areas .",0
Deutsche Post DHL Group consider Deutsche Post DHL Group voluntary social com- mitment – what Deutsche Post DHL Group call corporate citizenship – to be part of Deutsche Post DHL Group corporate responsibility .,0
"Roll out has begun in Nigeria , Ghana , Kenya , and Morocco where ALLIANZ GROUP have dedicated local renewable energy champions in place to adapt standard products and services to meet local needs .",0
"Over 60 years 9 In accordance with the German Joint Stock Corporation Act ( Aktiengesetz ) , the Supervisory Board must set a target quota of women on the Supervisory Board and a deadline for achieving a target quota of women on the Executive Board .",0
Deutsche Post DHL Group promote inclusion in the workplace and strictly oppose any form of discrimination .,0
"In addition , Deutsche Post DHL Group have committed to joining partner organizations in planting one million trees each year to support forest conservation .",1
"DHL Express support DHL Express suppliers with DHL Express knowledge and ex pertise , and DHL Express offer our suppliers an interactive training module on the Health & Well being category .",0
"HelloFresh try to give back to HelloFresh ’s lesbian , gay , bisexual , transgender or queer/ questioning ( LGBTQ+ ) community through an extensive supplier network , corporate initiatives and the engagement of HelloFresh own employees .",1
"Along with financial support for SOS Children ’s Villages educational programs and youth facilities , Deutsche Post DHL Group focus Deutsche Post DHL Group activities on career guidance , teaching basic professional skills and providing young people with first exposure to the work environment .",1
"By utilizing We expertise and We employees ‚Äô commitment , initiatives to improve financial literacy and inclusion are supported via We Born to Be youth engagement program .",0
adapted was an opportunity for Deutsche Bank employees to show just what Deutsche Bank can achieve when we all work together .,0
Brenntag AG invest in Brenntag AG infrastructure and train Brenntag AG employees with improve in mind .,0
Intended Use and Distribution Deutsche Post issue Our Code of Conduct on the basis of the engagement agreed with Deutsche Post .,0
"As the world ’s largest logistics service provider , the company have a special obligation to minimize the negative impact of the company business on the environment .",1
Deutsche Post DHL Group ensure that both information and goods are conveyed securely .,1
DHL Express are currently working together with other companies as part of the Aviation Initiative for Renewable Energy in Germany e. V . ( aireg ) to improve the viability of such alternative aviation fuels .,0
"BRENNTAG SE environmental goals include achieving “ net zero ” , i.e. that BRENNTAG SE want to stop emitting Scope 1 and 2 emissions from 2045 .",1
"There is therefore a great amount of reconditioned units in circulation at BRENNTAGWE , and as such BRENNTAGWE take a leading role in the in - dustry .",0
Deutsche Post offer regular training courses for Deutsche Post DRT members to ensure that our DRT members are deployment ready and able to meet the UN standards at all times .,0
"In day -to day work , breathe means addressing areas openly that can be improved , sharing experience , and learning from others .",0
Deutsche Post AG will analyze the survey results in detail and use the survey results to develop suitable measures for Deutsche Post AG work .,0
"Over time , the lessons learned at HelloFresh are being integrated .",0
"In line with OUR Stakeholder Relations strategy , OUR maintain an active dialogue with stakeholders in a number of different ways .",0
"In this context , BRENNTAG SE have fostered transparency by stating the carbon emissions of the products , the logistics chain and the Brenntag value added based on the available data in each case .",0
"www.dpdhl.com/dhl-best-workplace2018Environment 29 MULTI YEAR OVERVIEW EMPLOYEES RESILIENCE & INTEGRITY SOCIETY ENVIRONMENTDeutsche Post DHL Group30CORPORATE RESPONSIBILITY REPORT 2018 “ With Deutsche Post DHL Group Supplier Code of Conduct , Deutsche Post DHL Group integrate Deutsche Post DHL Group ethical values and climate protection goals into Deutsche Post DHL Group supply chain . ” EMPLOYEES , Global Compliance and Export Control DHL Supply Chain C A 3131MULTI YEAR OVERVIEW ENVIRONMENT SOCIETY EMPLOYEES Deutsche Post DHL Group RESILIENCE & INTEGRITYThis",0
Deutsche Post DHL Group wants to be a benchmark for responsible business in the logistics industry by the year 2020 .,1
"In most cases , the company place the task of maintaining the company vehicle fleets and aircraft in the hands of the manufacturers or of other third party maintenance providers .",0
"The donations and sponsorship committee of the Board of Management is guided by we Sponsorship and Donations Policy , which specifies binding regulations concerning criteria , legal provisions , and ethical standards .",0
Deutsche Post DHL Group provide online training to educate employees about A sustainable collective wa ge agreement ; online training to educate employees about the Code of Conduct is currently available in 21 diff erent languages .P,0
"Over the years ALLIANZ GROUP have emphasized on identifying female successors for leadership roles , provide development opportunities , increasing flexible work options and addressing unconscious bias in all ALLIANZ GROUP processes and ALLIANZ GROUP efforts are paying off .",0
"To carry out a sustainability mission and achieve Deutsche Bank targets , Deutsche Bank have embedded sustainability holistically throughout Deutsche Bank , focus ing Deutsche Bank efforts on the following four dimensions : ‚Äì Sustainable finance ‚Äì Policies and commitments ‚Äì Deutsche Bank own operations ‚Äì Thought leadership and stakeholder engagement",0
"In addition , the Supervisory Board has six committees that are charged primarily with preparing the resolutions of the Supervisory Board plenary meetings .",0
DHL Express consider natural resource consumption and biodiversity to be lower priority focus areas .,0
"As a signatory to the UN Global Compact Deutsche Post embrace the UN Global Compact 10 principles , which serve as the basis for Deutsche Post Corporate Responsibility policies and guidelines . .",0
"In short , OUR are well on OUR way to achieving our ambitious climate protection target to improve carbon efficiency by 30 % by the year 2020 , as compared to the baseline year 2007 .",1
"Because traditional financial services infrastructure is not established in many markets , ALLIANZ GROUP emerging consumer segment offers a major opportunity for digitalization .",0
"To promote , Deutsche Post provide em ployees with a healthy work environment and organize a wide range of activities to encourage em ployees to adopt a healthy lifestyle .",0
Slight decrease in CO2 emissions helped Deutsche Post AG decrease Deutsche Post AG carbon emissions across Scopes 1 and 2 by 0.2 million tonnes .,0
", Allianz Global Investors comply with the Allianz Group Information Security Framework , which sets out minimum requirements for information security .",0
"BRENNTAGWE see BRENNTAGWE as part of local communities in many different countries and cities , as a “ corporate citizen ” , and BRENNTAGWE maintain a lively dialogue with local communities in many different countries and cities and aim to contribute to a positive environment .",1
Since 2011 Deutsche Post DHL Group have called on Deutsche Post DHL Group employees worldwide to volunteer a few hours of our employees worldwide time to a social or environmental community project as part of 2014 .,0
Continental AG are currently focused on ensuring gender equality and international representation in Continental AG management team .,1
the Mediation Committee must then attempt mediation before a new vote is taken .,0
"a performance bonus is based on a target bonus that Continental AG determines for each Continental AG member for 100 % target achievement , and is then calculated in line with the attainment of certain targets relating to the yearonyear change in the Continental Value Contribution ( CVC ) and the return on capital employed ( ROCE ) .",0
BRENNTAGWE produce product dos -siers and safety instructions and see to disposal .,0
"At the same time , Deutsche Post DHL Group wa nt to ensure that tremendous added value for the world economy is n’t compromised by any negative i m pacts Deutsche Post DHL Group transport activities have on the environment .",1
"Deutsche Post review Deutsche Post customers ’ entire logistics supply chain to identify potential environmental and economic efficiency levers in areas such as network design , road freight , ocean freight or warehousing .",1
"Continental A G has a comprehensive range of training programs , in cluding in person training sessions organized according to a risk based training plan .",0
Deutsche Post AG are currently planning comprehensive evaluations of alternative heating systems for logistics centers and warehouses .,0
"Deutsche Bank Regulatory Change Process Policy assigns to the Government & Regulatory Affairs , Compliance , and Anti -Financial Crime departments the responsibility to identify new and amended banking and financial -services regulations issued by core global regulators and important regional regulations , and for raising awareness of new and amended banking and financial -services regulations issued by core global regulators and important regional regulations .",0
"BRENNTAGWE is a glo - bal company and is therefore subject to a large number of laws , directives , regu -lations and ordinances .",0
security of the personal data ALLIANZ GROUP hold is equally as important .,0
"The perceived most important megatrends and risks that ALLIANZ GROUP is able to address through ALLIANZ GROUP solutions and Sustainability Report are , in particular : climate change and environmental issues , such as natural catastrophes ; personal customer safety , including data security risks ; and societal issues , such as safety and human rights .",0
"Gender balance HelloFresh are proud of the strong representation by women at HelloFresh , and are working on many fronts to improve gender balance across the board .",1
Tendering process standardized Group wide ✔ DHL Express DHL Express select DHL Express suppliers and transport service providers by way of a multi step tendering process .,0
"In some loca tions , DHL Express invest in the creation of company supported childcare facilities .",0
the Group ESG Board CONSISTS OF : Dr. Axel Theis Member of the Board of Management of Turkey since 2015 with responsibility for Global Insurance Lines and Anglo ¬† Markets,0
"Deutsche Post want to reduce Deutsche Post dependency on fossil fuels , improve Deutsche Post carbon effciency , and lower Deutsche Post costs .",1
"ALLIANZ GROUP use various screening and monitoring systems to manage risks resulting from money laundering and terrorism financing , as well as to ensure compliance with financial sanctions restrictions .",0
"Group Audit forms the ‚Äò Third Line of Defense ‚Äô , independently and regularly reviewing risk governance implementation and compliance with risk principles , performing quality reviews of risk processes , and testing adherence to business standards , including the internal control framework .",0
Targets and measures Deutsche Bank strive to manage all types of risk as effectively and efficiently as possible .,0
"Advisory Board for Integrity and Corporate Responsibility consists of independent external experts from the fields of science , business and politics and from non governmental organizations .",0
"By maximizing vehicle capacity , utilizing efficient and eco friendly vehicles and managing routes more efficiently , Deutsche Post DHL Group have been able to reduce the number of kilometers travelled by approximately 46 % .",0
DHL Express will also continue providing financial support for refugee aid .,0
"Through various mechanisms , BRENNTAG SE obtain customer feedback for the continuous monitoring and improvement of BRENNTAG SE service quality .",0
"Our Code of Conduct also communicates to Deutsche Post customers , investors and the public that Deutsche Post is a reliable , trustworthy partner that combines first class service with a strong sense of responsibility .",0
Deutsche Post DHL Group have defined the following KP Is and targets for Deutsche Post DHL Group m ain corporate citizenship focus areas : KPIs and tar gets Focus ar ea KPI Target,1
GRI G4 - 22Connecting Chemistry BRENNTAGWE markets solid and liquid chemicals .,0
"In the Global Forwarding business unit , Deutsche Post DHL Group use a continual customer feedback approach to improve Deutsche Post DHL Group offers systematically .",0
"The results of our materiality analysis , which we conducted in 2013 confirm that the company are on the right track with the company green products and services .",0
"Having built ALLIANZ GROUP expertise across a range of sustainable investment approaches , ALLIANZ GROUP is categorizing a range of sustainable investment approaches to enable clients to better identify the appropriate strategy for clients needs .",0
"Allianz Global Investors build Allianz Global Investors solutions around three primary investment ¬† pillars : ‚Äì A technology enhanced listed markets research platform which harmonises fundamental and quantitative inputs to help find alpha for our clients across a range of truly active products ‚Äì A forward looking approach to factor investing that enables Allianz Global Investors to further diversify the sources of potential investment alpha , and optimise risk management ¬† costs ‚Äì A powerful private markets engine focused on expanding the boundaries of active management to help find solutions for both Allianz Group and our clients",0
"NFBNFBNFB BRENNTAG SE Sustainability Report 2020Letter from the CEO Global business Further information People Global impactSustainability at BRENNTAG SE 17For several years , BRENNTAG SE has undergone a sustain - ability assessment by the international rating agency Eco - Vadis every two years .",0
"CTSA ) , a subsidiary of Continental denies data on tread depth , possible damage , tire temperature and tire pressure .",0
Several Mercedes Benzmodels have been awarded an environmental certificate in Several Mercedes Benz models second generation .,0
the U.N.-Convened Net Zero Asset Owner Alliance is also striving to have engagement related targets .,0
ALLIANZ GROUP also invest in low carbon projects and initiatives which generate certificates that ALLIANZ GROUP use to offset our carbon footprint .,0
BRENNTAG SE act in accordance with the applicable standards and regulations and also cooperate closely with the industry ’s national and regional umbrella associations of which BRENNTAG SE national organizations are members .,0
"After the introduction of new internal processes to con -trol sustainability criteria for our Essen headquarters in 2020 , BRENNTAG SE will increase BRENNTAG SE focus on the sustainabili -ty performance of BRENNTAG SE suppliers in the future , including strategically .",0
"ALLIANZ GROUP are providing financing of 75 million Euro and 25 million U.S. dollars , both over 12 years , as Emerging Africa Infrastructure Fund ( EAIFfirst insurance investor .",0
"At the Deutsche Post DHL Group level , Deutsche Post DHL Group measure customer complaints across a variety of dimensions : Number of customer complaints Number of customer complaints in complaints categories Number of customer complaints per unit of time Number of customer complaints per business customer",0
Deutsche Post extend Deutsche Post heartfelt condolences to the families of three employees .,0
DHL Express use a variety of programs to monitor DHL Express customers ’ ever changing requirements .,0
worldwideBrenntag are working intensively on solutions to reduce food waste .,0
"Furthermore , to provide Deutsche Bank current and prospecti ve clients with an objective view on specific investment issues , asset classes , or market events , Deutsche Bank separate Deutsche Bank analysis of market conditions from Deutsche Bank sales planning .",0
Local air pollution By 2025 Express will operate 70 % of Express own first and last mile services with clean pick up and delivery solutions .,1
LEGALLY COMPLIANT & VALUE ORIENTED Compliance Management at OUR follows an approach that is simultaneously value- and risk- oriented .,1
"Therefore , in the following section , as a non - financial parent company , TAXONOMY present the share of TAXONOMY consolidated turnover , capital expenditure ( Capex ) and operating expenses ( Opex ) for the 2021 reporting period for BRENNTAG SE economic activities in relation to the first two environmental objectives ( climate change miti -gation and adaptation ) pursuant to Art . 8 EU Taxonomy Regulation and Art . 10 ( 2 ) of Art . 8 Delegated Act .",0
"If necessary , BRENNTAG SE agrees on corrective meas -ures with its suppliers and the auditor and follows up on corrective meas -ures implementation .",0
"Allianz Global Investors continue to take action to improve areas highlighted for improvement in Allianz Global Investors Sustainability Report 2020201 , including : ‚Äì Career and development : Global roll out of the Opportunity Platform to provide short term collaboration opportunities , mentoring , reverse mentoring and more ‚Äì connected to Allianz Group with AllianzGI specific learning paths for career development",0
"The ESG referral and assessment process is integrated via the Allianz Group Risk Management Framework that is applied to all insurance business globally , whether ALLIANZ GROUP is acting as lead insurer or as part of a panel.24AllianzSustainability Report 201901Introduction02Sustainability strategy and ¬† governance03Sustainability in core business activities03.1",0
Deutsche Post take an inclusive approach when selecting both internal and external candidates to fill vacant positions .,0
"In addition to the aspects covered by the law , BRENNTAGWE has identified “ Supply chain responsibility ” as being material within the meaning of the law .",0
"World -wide , BRENNTAGWE operate in accordance with the “ Safety First ” principle as BRENNTAGWE most important company value .",0
"BRENNTAGWE aim to continuously improve on BRENNTAGWE performance in the issues of safety , environmental pro - tection , responsibility in the supply chain as well as employees and social commitment .",1
"n To ensure that DHL Express IT systems are constantly available , DHL Express design our IT systems to protect against complete system fail ures and operate data centers at different geographical locations around the world ’s .",1
BRENNTAG SE reports the total number and ratio of new employees as well as the total number and ratio of employee turnover by region.6401 - 2,0
"BRENNTAGWE is currently training almost 80 young people across Swit - zerland ( DACH region to become management assistants in wholesale and foreign trade , logistics management assistants , laboratory technicians and warehouse staff .",0
"So far , Bank has helpedrebuild 14 schools in ten years and donated bookshelves and books to another five schools in the area .",0
BRENNTAG SE has registered an increasing demand for infor -mation on how BRENNTAG SE deal with sustainability issues – par -ticularly on the part of BRENNTAG SE customers .,0
"Deutsche Bank maximize the impact of Deutsche Bank CSR agenda by interacting with Deutsche Bank stakeholders , forgin g long- term partnerships with charities , supporting advocacy initiatives , and working with others , e.g. companies , to promote impact monitoring .",0
Continental A G use a cor poration wide internal control and risk management system that to identify and evaluate developments that could give rise to signif icant disadvantages for Continental A G and to avoid risks that would endanger the continued existence of Continental A G,0
The Nomination Committee is responsible for nominating suitable candidates for the Executive Board and Supervisory Board of Continental AG to propose to the Annual Report for election .,0
"Deutsche Bank have performed a limited assurance engagement on The Symphony Connect Solution in the chapters ‚Äú Introduction ‚Äù , ‚Äú Non- financial statement ‚Äù and ‚Äú GRI supplement ‚Äù of the ‚Äú Non- Financial Report 2020 ‚Äù of Deutsche Bank -Group , also consisting of the chapter ‚Äú 43 ‚Äì Country- by Country Reporting ‚Äù in the notes to the consolidated financial statements 2020 of Deutsche Bank .",0
BRENNTAGWE do not distinguish between new and existing suppliers in these assessments.8Environmental,0
our Start up Lab emPLoYee oPINIoN SUr VeY U Deutsche Post value the opinion of Deutsche Post employees .,0
"Indeed , that is the inherent strength of Deutsche Post AG : Deutsche Post AG people and the common understanding that what Deutsche Post AG do – as a business and a global citizen – is of lasting value .",0
DHL Express measures also helped DHL Express reduce the number of fa tal workplace accidents in 2016 compared to the previous year .,0
In what ways are DHL Express letting your people par ticipate in the innovation process ?,0
"Moreover , Continental A G points out that Continental A G adheres to existi ng laws and requirements .",0
"Deutsche Bank want all individuals to feel welcomed , accepted , respected and supported .",1
